City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,shower rain,72.0,-20.34,57.76,Casa Tia Villa
1,Castro,BR,scattered clouds,69.67,-24.79,-50.01,CHACARA BAILLY
2,San Fernando,PH,broken clouds,80.6,15.03,120.69,Sky Hotel
3,Gbarnga,LR,light rain,76.84,7.0,-9.47,Passion Hotel 2
4,Nanortalik,GL,overcast clouds,44.58,60.14,-45.24,"NTS Rooms, Nanortalik"
5,Narsaq,GL,broken clouds,55.4,60.92,-46.05,Hotel Narsaq
6,Port Alfred,ZA,light rain,52.0,-33.59,26.89,The Halyards Hotel
7,Hermanus,ZA,scattered clouds,57.0,-34.42,19.23,Misty Waves Boutique Hotel
8,Ushuaia,AR,broken clouds,32.0,-54.8,-68.3,Albatros Hotel
9,Mount Isa,AU,broken clouds,62.6,-20.73,139.5,ibis Styles Mt Isa Verona
10,Guerrero Negro,MX,clear sky,77.67,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
11,Luza,RU,overcast clouds,71.38,60.63,47.25,"Gostinitsa ""Prival"""
12,Elat,IL,clear sky,102.2,29.56,34.95,Club Hotel Eilat
13,Elesbao Veloso,BR,clear sky,90.39,-6.2,-42.14,Pousada Paraiso
14,Ponta Do Sol,PT,few clouds,78.8,32.67,-17.1,Hotel do Campo
15,Rikitea,PF,scattered clouds,68.25,-23.12,-134.97,Pension Maro'i
16,Tuktoyaktuk,CA,mist,37.4,69.45,-133.04,End of The Road Ltd.
17,Mataura,NZ,overcast clouds,44.08,-46.19,168.86,Ellie's Villa
18,Clyde River,CA,few clouds,55.4,70.47,-68.59,Qamaq Hotel
19,Cape Town,ZA,scattered clouds,59.0,-33.93,18.42,Southern Sun Waterfront Cape Town
20,Shahr-E Babak,IR,clear sky,84.69,30.12,55.12,اقامتگاه گردشگری دوناdunagarden ecolodge
21,Atuona,PF,scattered clouds,79.88,-9.8,-139.03,Villa Enata
22,Severo-Kurilsk,RU,light rain,50.63,50.68,156.12,Kak Doma
23,Macau,MO,scattered clouds,86.0,22.2,113.55,MGM Macau
24,Norman Wells,CA,overcast clouds,50.0,65.28,-126.83,Heritage Hotel
25,Derzhavinsk,KZ,clear sky,83.66,51.1,66.32,Ooo.khim Baza
26,Hilo,US,scattered clouds,71.6,19.73,-155.09,Hilo Hawaiian Hotel
