City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Bambous Virieux,MU,-20.34,57.76,72.0,77,75,13.87,shower rain,0.0,0
1,Castro,BR,-24.79,-50.01,69.67,63,44,12.01,scattered clouds,0.0,0
2,San Fernando,PH,15.03,120.69,80.6,83,75,3.36,broken clouds,0.0,0
3,Gbarnga,LR,7.0,-9.47,76.84,78,99,3.69,light rain,0.13,0
4,Nanortalik,GL,60.14,-45.24,44.58,92,98,9.37,overcast clouds,0.0,0
5,Narsaq,GL,60.92,-46.05,55.4,76,75,6.93,broken clouds,0.0,0
6,Port Alfred,ZA,-33.59,26.89,52.0,96,94,8.99,light rain,0.36,0
7,Hermanus,ZA,-34.42,19.23,57.0,64,39,1.01,scattered clouds,0.0,0
8,Ushuaia,AR,-54.8,-68.3,32.0,91,75,3.36,broken clouds,0.0,0
9,Mount Isa,AU,-20.73,139.5,62.6,33,67,17.22,broken clouds,0.0,0
10,Guerrero Negro,MX,27.98,-114.06,77.67,45,2,6.08,clear sky,0.0,0
11,Luza,RU,60.63,47.25,71.38,60,98,4.83,overcast clouds,0.0,0
12,Elat,IL,29.56,34.95,102.2,26,0,8.05,clear sky,0.0,0
13,Elesbao Veloso,BR,-6.2,-42.14,90.39,35,6,8.14,clear sky,0.0,0
14,Ponta Do Sol,PT,32.67,-17.1,78.8,57,20,19.46,few clouds,0.0,0
15,Rikitea,PF,-23.12,-134.97,68.25,68,38,19.39,scattered clouds,0.0,0
16,Tuktoyaktuk,CA,69.45,-133.04,37.4,93,75,0.94,mist,0.0,0
17,Mataura,NZ,-46.19,168.86,44.08,91,100,3.51,overcast clouds,0.0,0
18,Clyde River,CA,70.47,-68.59,55.4,58,20,6.93,few clouds,0.0,0
19,Cape Town,ZA,-33.93,18.42,59.0,62,40,11.41,scattered clouds,0.0,0
20,Shahr-E Babak,IR,30.12,55.12,84.69,14,1,18.05,clear sky,0.0,0
21,Atuona,PF,-9.8,-139.03,79.88,76,31,21.39,scattered clouds,0.0,0
22,Severo-Kurilsk,RU,50.68,156.12,50.63,89,100,3.65,light rain,0.24,0
23,Macau,MO,22.2,113.55,86.0,89,40,11.41,scattered clouds,0.0,0
24,Norman Wells,CA,65.28,-126.83,50.0,87,90,5.82,overcast clouds,0.0,0
25,Derzhavinsk,KZ,51.1,66.32,83.66,47,0,6.15,clear sky,0.0,0
26,Hilo,US,19.73,-155.09,71.6,78,40,5.82,scattered clouds,0.0,0
27,Havre-Saint-Pierre,CA,50.23,-63.6,73.4,73,1,9.17,clear sky,0.0,0
28,Albania,AL,41.0,20.0,89.6,35,31,11.41,scattered clouds,0.0,0
29,Surgana,IN,20.57,73.62,76.68,86,22,13.56,few clouds,0.0,0
30,Bluff,NZ,-46.6,168.33,50.11,80,100,24.61,light rain,0.13,0
31,Imbituba,BR,-28.24,-48.67,66.2,68,75,13.87,thunderstorm,0.0,0
32,Tuatapere,NZ,-46.13,167.68,45.45,90,100,4.74,light rain,0.58,0
33,Shangrao,CN,28.45,117.97,80.13,84,100,1.41,overcast clouds,0.0,0
34,Hashtrud,IR,37.48,47.05,71.37,50,72,7.72,broken clouds,0.0,0
35,Bethel,US,41.37,-73.41,80.6,74,75,8.05,broken clouds,0.0,0
36,Rockhampton,AU,-23.38,150.5,57.2,93,40,0.96,scattered clouds,0.0,0
37,Anta,IN,25.15,76.3,92.1,54,93,17.43,overcast clouds,0.0,0
38,Ust-Nera,RU,64.57,143.2,55.71,50,0,1.19,clear sky,0.0,0
39,Punta Arenas,CL,-53.15,-70.92,35.6,74,40,17.22,scattered clouds,0.0,0
40,Bredasdorp,ZA,-34.53,20.04,57.2,62,24,8.05,few clouds,0.0,0
41,Takanabe,JP,32.13,131.5,77.45,88,100,4.25,overcast clouds,0.0,0
42,Pak Phanang,TH,8.35,100.2,80.8,81,100,6.58,overcast clouds,0.0,0
43,Yar-Sale,RU,66.83,70.83,58.84,58,37,10.07,scattered clouds,0.0,0
44,Praia Da Vitoria,PT,38.73,-27.07,73.4,73,40,11.45,scattered clouds,0.0,0
45,Moron,AR,-34.65,-58.62,55.4,37,0,9.17,clear sky,0.0,0
46,Lompoc,US,34.64,-120.46,59.0,100,0,1.3,mist,0.0,0
47,New Norfolk,AU,-42.78,147.06,46.0,91,58,2.28,broken clouds,0.0,0
48,Hobart,AU,-42.88,147.33,46.0,87,90,1.12,overcast clouds,0.0,0
49,Dikson,RU,73.51,80.55,43.09,86,79,13.04,broken clouds,0.0,0
50,Khatanga,RU,71.97,102.5,51.15,82,99,12.71,overcast clouds,0.0,0
51,Slave Lake,CA,55.28,-114.77,55.4,82,1,5.82,clear sky,0.0,0
52,Nosivka,UA,50.93,31.58,80.2,68,0,7.61,clear sky,0.0,0
53,Ponta Delgada,PT,37.73,-25.67,73.4,60,75,8.05,broken clouds,0.0,0
54,Iranshahr,IR,27.2,60.68,107.6,9,20,11.41,few clouds,0.0,0
55,Saint-Philippe,RE,-21.36,55.77,69.8,73,20,4.7,few clouds,0.0,0
